id,site,accuracy,surface,altitude,X,Y
B0038,Bukvice-východní okraj obce,1,FALSE,316,-676012,-1015477
B0039,Bylany u Českého Brodu-Klečky,3,FALSE,252,-708150,-1051601
B0040,Bylany u Českého Brodu-Okrouhlík,2,TRUE,254,-708406,-1050646
B0041,Bylany u Kutné Hory-1,1,FALSE,300,-686600,-1067514
B0042,Bylany u Kutné Hory-2,1,FALSE,300,-686652,-1066818
B0043,Bylany u Kutné Hory-3,1,FALSE,310,-687366,-1066472
B0044,Bylany u Kutné Hory-4,1,FALSE,310,-687372,-1066874
B0045,Bylany u Kutné Hory-5,1,FALSE,335,-687716,-1067436
B0046,Bylany u Kutné Hory-Nade vsí,1,FALSE,320,-687256,-1067394
B0047,Bystřice-V bahnech,2,TRUE,310,-680763,-1017477
B0048,Bystřice-Nad Bahny,2,TRUE,296,-680479,-1016625
B0049,Cerekvice nad Bystřicí-Za Lužním mlýnem,2,TRUE,276,-648044,-1028566
B0050,Cerekvice nad Bystřicí-Na kozách,2,TRUE,274,-646828,-1028857
B0051,Cerekvice nad Loučnou-,2,TRUE,302,-617064,-1079805
B0052,Cerekvice nad Loučnou-zemědělské družstvo,2,FALSE,300,-617153,-1080199
